,pad_size(mm),coupling_len(um),buffer(um),offset,target_freq(GHz),target_res_freq(GHz),Cj (fF),Lj (nH),Small_Wrap,TQx,TQy,TQ_mir,C_CPW_Qb,C_CPW_Qbp,C_Qb_g,Freq1(GHz),Freq2(GHz),Freq_EPR1(MHz),Chi1_1(MHz),Freq_EPR2(MHz),Chi2_1(MHz),Chi2_2(MHz)
0,0.25,40.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-10.15746,-94.94548,-105.08425,4.17829355916877,6.37018957252072,3999.1196989789073,187.5038050359907,6369.575278849243,1.1084513027782439,0.0018025501499176024
1,0.25,50.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-10.89654,-94.60775,-105.4865,4.17123451841971,6.35867617966814,3992.7192156403794,186.72735942511557,6357.9571568199,1.2969334000778199,0.0024775656757354734
2,0.25,60.0,188.0,0.0,4.0,8.807372605569507,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-11.64475,-94.26507,-105.88321,4.16811637767583,6.34695453359126,3989.92854417931,186.29612447998045,6346.1168907269375,1.5094955788822173,0.003364794904708862
3,0.23500000000000001,40.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-9.76082,-87.83126,-97.52223,4.33421678727254,6.57432252066027,4141.001407194859,202.49784493051243,6573.619346757522,1.2616825688343047,0.002172958089828491
4,0.23500000000000001,50.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-10.49261,-87.49223,-97.91643,4.32333972408941,6.56266623478678,4131.1572838049215,201.31213704761885,6561.846759096321,1.4704429745521546,0.002967371955871582
5,0.23500000000000001,60.0,184.0,0.0,4.2,9.008272569091718,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-11.23127,-87.1463,-98.30631,4.31427755957139,6.55123418195622,4122.964758572629,200.29613074993992,6550.290055078988,1.6937968875446319,0.0039558536453247065
6,0.20800000000000002,40.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-8.75318,-75.401,-84.15456,4.64916687641425,6.76604672252331,4425.913050445491,234.67585795584105,6765.109382523771,1.6347907086868285,0.0032189770298004148
7,0.20800000000000002,50.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-9.46986,-75.0589,-84.53325,4.64514282580343,6.75432971668029,4422.370719954101,234.0497391271877,6753.212060925304,1.9473156941547394,0.0045804666824340815
8,0.20800000000000002,60.0,193.0,0.0,4.4,9.200850159644736,3.3923231627469788,13,False,-0.1mm,0.5mm,True,-10.18449,-74.72378,-84.90791,4.6339903788536,6.74188486904915,4412.390971997497,232.67603850061988,6740.582888230712,2.2683410036048888,0.0062483580493927
9,0.187,40.0,205.0,0.0,4.6000000000000005,9.46552237058575,3.3923231627469788,13,False,-0.232mm,0.5mm,True,-7.89401,-66.00568,-73.93239,4.9547559636458,7.02474158682552,4700.181027307547,268.3680095800495,7023.56941392899,1.9948377799186705,0.004271064584732055
